2026-06-23 08:44:04,START
2026-06-22 21:56:49,STOP
2026-06-21 19:34:19,START
2026-06-21 17:38:59,START
2026-06-21 16:25:11,START
2026-06-21 08:33:46,START
2026-06-20 14:16:22,START
2026-06-20 10:57:16,STOP
2026-06-20 10:38:26,START
2026-06-10 12:31:22,STOP
2026-06-10 11:20:38,START
2026-06-09 12:37:02,STOP
2026-06-09 12:15:46,START
2026-06-08 16:27:24,START
2026-06-08 05:55:37,STOP
2026-06-04 17:21:08,START
2026-06-04 15:45:25,STOP
2026-06-04 12:21:30,START
2026-06-04 09:59:57,STOP
2026-06-03 12:44:48,START
2026-06-03 08:57:42,STOP
2026-06-02 09:59:33,START
2026-05-30 18:03:21,STOP
2026-05-30 07:10:24,START
